,dob,dod,Names,Age,Role,Cause
1,23 August 1902,22 August 1961,Ida Siekmann,58,Escapee,Died from internal injuries after she jumped out the window of her apartment at Bernauer Straße 48.
2,19 January 1937,24 August 1961,Günter Litfin,24,Escapee,Shot in Humboldt Harbour
3,19 March 1934,29 August 1961,Roland Hoff,27,Escapee,Shot in the Teltow Canal
4,6 June 1914,17 September 1961,Rudolf Urban,47,Escapee,"Fell while climbing out the window of his apartment at Bernauer Straße 1, and died of pneumonia in the Lazarus hospital"
5,31 July 1881,26 September 1961,Olga Segler,80,Escapee,Jumped from her home at Bernauer Straße 34 and died a day later from internal injuries
6,11 March 1939,4 October 1961,Bernd Lünser,22,Escapee,Fell from the roof at Bernauer Straße 44 while fighting with GDR border patrol
7,8 March 1936,5 October 1961,Udo Düllick,25,Escapee,Drowned in the Spree
8,18 June 1936,14 October 1961,Werner Probst,25,Escapee,Shot in the Spree
9,28 January 1942,26 November 1961,Lothar Lehmann,19,Escapee,Drowned in the Havel
10,27 May 1941,9 December 1961,Dieter Wohlfahrt,20,Escapee,Shot while helping others escape
11,31 January 1940,10 December 1961,Ingo Krüger,21,Escapee,Drowned in the Spree – defective diving equipment
12,12 August 1941,19 December 1961,Georg Feldhahn,20,No intention,Drowned in the Spree after desertion; body found on 11 March 1962
13,25 April 1941,19 February 1962,Dorit Schmiel,20,Escapee,Shot at Wilhelmsruher Damm at the sector border between Berlin-Pankow and Berlin-Reinickendorf
14,1 July 1937,27 March 1962,Heinz Jercha,24,Helper of escapees,Shot at Heidelberger Strasse 75 at the sector border between Berlin-Treptow and Berlin-Neukölln
15,2 May 1942,26 April 1962,Philipp Held,19,Escapee,Drowned in the Spree on or after 8 April; body found on 22 April
16,14 September 1938,18 April 1962,Klaus Brueske,23,Escapee,Suffocated
17,17 August 1942,18 April 1962,Peter Böhme,19,Escapee,Shot in a fire-fight
18,28 June 1941,18 April 1962,Jörgen Schmidtchen,20,Guard,Shot by escapee Peter Bohme at Gleisdreieck Griebnitzsee on the outer ring between Potsdam-Babelsberg and Berlin-Zehlendorf
19,7 May 1942,29 April 1962,Horst Frank,19,Escapee,"Shot at the ""Schönholz"" garden settlement at the sector border between Berlin-Pankow and Berlin-Reinickendorf"
20,28 December 1940,23 May 1962,Peter Göring,21,Guard,Shot; stray bullet from West Berlin police
21,29 April 1938,27 May 1962,Lutz Haberlandt,24,Escapee,"Shot while attempting to escape on the sector border south of the Sandkrug Bridge, near the Charité on Alexander's shore"
22,27 April 1945,5 June 1962,Axel Hannemann,17,Escapee,Shot in the Spree
23,21 July 1908,11 June 1962,Erna Kelm,53,Escapee,Drowned in the Havel
24,1 February 1949,11 June 1962,Wolfgang Glöde,13,No intention,"Shot accidentally by a guard showing him his <a href=""/wiki/AK-47"" title=""AK-47"">AK-47</a>"
25,8 March 1942,18 June 1962,Reinhold Huhn,20,Guard,Shot by escapees
26,9 December 1939,28 June 1962,Siegfried Noffke,22,Escapee,"Shot as an escape helper at the sector border between the districts Mitte and Kreuzberg at Heinrich-Heine-Straße 49, after the local escape tunnel had been betrayed; died on the way to the East Berlin hospital"
27,14 January 1944,17 August 1962,Peter Fechter,18,Escapee,"Shot while attempting to escape in Berlin-Mitte, Zimmerstraße; Bleeding in the death strip before the eyes of a large West Berlin crowd"
28,10 January 1943,23 August 1962,Hans-Dieter Wesa,19,Escapee,"At the sector border in Gesundbrunnen at S-Bahn station Bornholmer Straße, he was shot at trying to escape and, when he was lying on the ground, shot from close range"
29,2 December 1921,4 September 1962,Ernst Mundt,40,Escapee,"Shot while attempting to escape at the sector border, at Sophienfriedhof, Bernauer Ecke Bergstraße"
30,28 April 1940,30 September 1962,Günter Seling,22,Guard,"In the service killed border guardsman; shot dead by a comrade on the southwestern outer ring, because according to different information either the submachine gun accidentally triggered or he was confused with a GDR refugee"
31,27 April 1902,8 October 1962,Anton Walzer,60,Escapee,Shot while trying to escape at the sector border in the Spree near the Oberbaumbrücke
32,12 July 1932,19 November 1962,Horst Plischke,30,Escapee,Drowned in the Spree; body found on 10 March 1963
33,14 December 1944,27 November 1962,Otfried Reck,17,Escapee,After a foiled escape attempt on the run from the now pursuing Grenzer search party near the border shot
34,14 February 1942,5 December 1962,Günter Wiedenhöft,20,Escapee,Drowned
35,11 December 1942,1 January 1963,Hans Räwel,20,Escapee,Shot in the Spree
36,5 July 1931,15 January 1963,Horst Kutscher,31,Escapee,Shot
37,15 January 1943,24 January 1963,Peter Kreitlow,20,Escapee,Shot by Soviet troops
38,1 February 1947,3 March 1963,Wolf-Olaf Muszynski,16,Escapee,Drowned in the Spree
39,10 July 1943,26 April 1963,Peter Mädler,19,Escapee,Shot in the Teltow Canal
40,12 February 1941,8 September 1963,Siegfried Widera,22,Guard,Bludgeoned with a metal rod on 23 August 1963
41,21 February 1940,4 November 1963,Klaus Schröter,23,Escapee,Drowned in the Spree after being shot
42,21 October 1939,25 November 1963,Dietmar Schulz,24,Escapee,Hit by a train
43,27 October 1939,13 December 1963,Dieter Berger,24,No intention,Shot while drunkenly climbing the fence
44,2 October 1945,25 December 1963,Paul Schultz,18,Escapee,Shot
45,31 January 1939,27 February 1964,Walter Hayn,25,Escapee,Shot
46,13 August 1943,5 May 1964,Adolf Philipp,20,No intention,Shot after threatening the border guards with a gun
47,20 September 1934,22 June 1964,Walter Heike,29,Escapee,Shot
48,27 October 1943,28 July 1964,Norbert Wolscht,20,Escapee,Drowned in the Havel
49,10 November 1944,28 July 1964,Rainer Gneiser,19,Escapee,Drowned in the Havel
50,12 June 1927,18 August 1964,Hildegard Trabant,37,Escapee,Shot while running away from the wall after a failed escape attempt
51,10 November 1945,20 August 1964,Wernhard Mispelhorn,18,Escapee,Shot on 18 August 1964
52,4 January 1943,5 October 1964,Egon Schultz,21,Guard,Shot accidentally in a fire-fight
53,8 August 1944,26 November 1964,Hans-Joachim Wolf,20,Escapee,Shot
54,3 April 1945,3 December 1964,Joachim Mehr,19,Escapee,Shot
55,19 January 1965,,Unidentified man,Unidentified man,Escapee,Drowned in the Spree
56,21 February 1944,4 March 1965,Christian Buttkus,21,Escapee,Shot
57,13 September 1940,25 March 1965,Ulrich Krzemien,24,West-East-Crossing,"Escaped 1962, drowned in the Spree while crossing to East Berlin"
58,20 March 1939,3 May 1965,Hans-Peter Hauptmann,26,No intention,Shot on 25 April 1965 during an argument with border guards
59,28 October 1922,15 June 1965,Hermann Döbler,42,No intention,Shot after unintentionally piloting his boat too close to the border along the Teltow Canal
60,3 March 1940,8 August 1965,Klaus Kratzel,25,Escapee,Hit by a train
61,19 July 1941,18 August 1965,Klaus Garten,24,Escapee,Shot
62,21 May 1942,18 October 1965,Walter Kittel,23,Escapee,Shot after surrendering
63,5 June 1936,11 November 1965,Heinz Cyrus,29,Escapee,Fell from the fourth floor of a building he fled to
64,17 December 1917,25 November 1965,Heinz Sokolowski,47,Escapee,Shot
