,index,Category,Category_Gender,Medal,Athlete_Full_Name,Country_IMG_URL,Country_Code,Sport_Event
0,0,3x3 Basketball,Men,Gold,Latvia,https://www.olympedia.org/images/flags/LAT.png,LAT,3x3 Basketball
1,1,3x3 Basketball,Men,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,3x3 Basketball
2,2,3x3 Basketball,Men,Bronze,Serbia,https://www.olympedia.org/images/flags/SRB.png,SRB,3x3 Basketball
3,3,3x3 Basketball,Women,Gold,United States,https://www.olympedia.org/images/flags/USA.png,USA,3x3 Basketball
4,4,3x3 Basketball,Women,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,3x3 Basketball
5,5,3x3 Basketball,Women,Bronze,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,3x3 Basketball
6,6,Individual,Men,Gold,Mete Gazoz,https://www.olympedia.org/images/flags/TUR.png,TUR,Archery
7,7,Individual,Men,Silver,Mauro Nespoli,https://www.olympedia.org/images/flags/ITA.png,ITA,Archery
8,8,Individual,Men,Bronze,Takaharu Furukawa,https://www.olympedia.org/images/flags/JPN.png,JPN,Archery
9,9,Team,Men,Gold,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Archery
10,10,Team,Men,Silver,Chinese Taipei,https://www.olympedia.org/images/flags/TPE.png,TPE,Archery
11,11,Team,Men,Bronze,Japan,https://www.olympedia.org/images/flags/JPN.png,JPN,Archery
12,12,Individual,Women,Gold,An San,https://www.olympedia.org/images/flags/KOR.png,KOR,Archery
13,13,Individual,Women,Silver,Yelena Osipova,https://www.olympedia.org/images/flags/ROC.png,ROC,Archery
14,14,Individual,Women,Bronze,Lucilla Boari,https://www.olympedia.org/images/flags/ITA.png,ITA,Archery
15,15,Team,Women,Gold,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Archery
16,16,Team,Women,Silver,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Archery
17,17,Team,Women,Bronze,Germany,https://www.olympedia.org/images/flags/GER.png,GER,Archery
18,18,Team,Mixed,Gold,Republic of Korea,https://www.olympedia.org/images/flags/KOR.png,KOR,Archery
19,19,Team,Mixed,Silver,Netherlands,https://www.olympedia.org/images/flags/NED.png,NED,Archery
20,20,Team,Mixed,Bronze,Mexico,https://www.olympedia.org/images/flags/MEX.png,MEX,Archery
21,21,Individual All-Around,Men,Gold,Daiki Hashimoto,https://www.olympedia.org/images/flags/JPN.png,JPN,Artistic Gymnastics
22,22,Individual All-Around,Men,Silver,Xiao Ruoteng,https://www.olympedia.org/images/flags/CHN.png,CHN,Artistic Gymnastics
23,23,Individual All-Around,Men,Bronze,Nikita Nagorny,https://www.olympedia.org/images/flags/ROC.png,ROC,Artistic Gymnastics
24,24,Team All-Around,Men,Gold,Russian Olympic Committee,https://www.olympedia.org/images/flags/ROC.png,ROC,Artistic Gymnastics
25,25,Team All-Around,Men,Silver,Japan,https://www.olympedia.org/images/flags/JPN.png,JPN,Artistic Gymnastics
26,26,Team All-Around,Men,Bronze,People's Republic of China,https://www.olympedia.org/images/flags/CHN.png,CHN,Artistic Gymnastics
