Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(Australasia),Release date(Europe)
007 Legends,First-person shooter,Eurocom,Activision,Unreleased,"December 11, 2012",Unreleased,"December 7, 2012"
1001 Spikes,Platformpuzzle,8bits Fanatics,Nicalis,"November 25, 2015","June 3, 2014",Unreleased,"October 1, 2015"
140,Platform,Double Fine Productions,Abstraction Games,Unreleased,"September 1, 2016",Unreleased,"September 1, 2016"
153 Hand Video Poker,Simulation,Skunk Software,Skunk Software,Unreleased,"June 2, 2016",Unreleased,Unreleased
3Souls,Puzzle platformer,Red Column,Red Column,Unreleased,"July 28, 2016","July 28, 2016","July 28, 2016"
6-Hand Video Poker,Puzzlestrategy,Skunk Software,Skunk Software,Unreleased,"March 31, 2016",Unreleased,Unreleased
6180 the moon,Platform,Turtle Cream,Turtle Cream,"July 6, 2016","February 25, 2016",Unreleased,"February 25, 2016"
8Bit Hero,Actionadventure,Sean Garland,Righteous Weasel,Unreleased,"May 12, 2016",Unreleased,Unreleased
99Moves,Action,EnjoyUp Games,EnjoyUp Games,"October 21, 2015","December 18, 2014",Unreleased,"December 18, 2014"
99Seconds,Action,EnjoyUp Games,EnjoyUp Games,"June 3, 2015","October 2, 2014",Unreleased,"October 2, 2014"
Absolutely Unstoppable MineRun,Adventure,Shy Egg,Shy Egg,Unreleased,"April 27, 2017",Unreleased,"April 13, 2017"
Abyss,Adventure,EnjoyUp Games,EnjoyUp Games,"January 7, 2015","May 1, 2014",Unreleased,"May 8, 2014"
Ace: Alien Cleanup Elite,Actionarcadefirst-person shooterfighting,Matthew Flewelling,Nitrolic Games,Unreleased,"March 16, 2017",Unreleased,"March 16, 2017"
Ace of Seafood,Action,Nussoft,Nussoft,"November 30, 2016",Unreleased,Unreleased,Unreleased
Act It Out! A Game of Charades,Party,Snap Finger Click,Snap Finger Click,Unreleased,"October 10, 2016",Unreleased,"October 6, 2016"
Adventure Party: Cats and Caverns,Party,E-Regular Games,E-Regular Games,Unreleased,"August 18, 2016",Unreleased,Unreleased
Adventure Time: Explore the Dungeon Because I Don't Know!,Action-adventure,WayForward Technologies,NA: D3 PublisherPAL: Bandai Namco Games,Unreleased,"November 19, 2013","December 12, 2013","December 13, 2013"
Adventure Time: Finn & Jake Investigations,Action-adventurerole-playing,Vicious Cycle Software,Little Orbit,Unreleased,"October 20, 2015",Unreleased,"November 6, 2015"
